id,email,full_name,created_at,settings
1481afad-6c3c-4015-bc6e-e85ad425d031,christopher64@roberson.biz,Evelyn Christian,2023-11-17T07:47:52,"{""subscribe_to_newsletter"": true, ""discount_amount"": 10}"
720bc895-06df-4850-a167-50201a6d2a93,ann32@bullock.org,Aaron Dennis,2023-10-03T13:34:38,"{""subscribe_to_newsletter"": true, ""discount_amount"": 15}"
9e0575ab-746f-424a-9a98-f51b0f9c5d3e,estradadavid@carter.org,John Johnson,2024-03-09T06:53:51,"{""subscribe_to_newsletter"": false, ""discount_amount"": 0}"
b5ce402e-444a-4e1f-b1c9-cd47dd3fadce,mclark@hotmail.com,Rhonda Stewart,2024-05-20T15:10:19,"{""subscribe_to_newsletter"": true, ""discount_amount"": 15}"
a58cd577-fea6-48f5-8f3b-42a7ff0db174,ameyer@yahoo.com,Sarah Brewer,2025-01-30T01:53:11,"{""subscribe_to_newsletter"": false, ""discount_amount"": 10}"
f79972a4-c603-480d-b97c-6b0cc766f884,kbarrett@rogers-myers.com,Jasmine Osborne,2023-07-28T23:29:01,"{""subscribe_to_newsletter"": true, ""discount_amount"": 5}"
8c3d2732-c3a8-4eed-87b9-a42d16e0e60d,deckermichael@bright-sullivan.net,Susan Fowler,2024-08-03T14:49:59,"{""subscribe_to_newsletter"": true, ""discount_amount"": 10}"
e79fa58a-4c7e-4a0e-a5fe-d39828f3be81,jhooper@wallace.com,Alex Lindsey,2024-12-29T08:10:24,"{""subscribe_to_newsletter"": false, ""discount_amount"": 5}"
b50b87cc-6542-4a6d-8462-fd2cb3051c7e,awalters@gmail.com,Katrina Mann,2023-09-18T16:56:44,"{""subscribe_to_newsletter"": true, ""discount_amount"": 0}"
5c398a4c-3a93-4ab6-8250-9bd751dfbf2f,flynnnicholas@hotmail.com,Jennifer Galloway,2024-02-05T05:34:32,"{""subscribe_to_newsletter"": false, ""discount_amount"": 0}"
c2f000d6-a5ba-4c17-bceb-fef9e9ace936,pottermatthew@yahoo.com,Mark Martin,2024-06-05T18:54:22,"{""subscribe_to_newsletter"": false, ""discount_amount"": 0}"
9615f8e7-65d5-46e4-b800-4b232c735eda,nathanyoung@summers.com,Jasmine Torres,2025-06-25T00:29:23,"{""subscribe_to_newsletter"": true, ""discount_amount"": 10}"
7163643f-58f1-4ca4-a0e4-fb161cca8b3a,irichardson@yahoo.com,Lori Pham,2024-05-11T07:37:31,"{""subscribe_to_newsletter"": false, ""discount_amount"": 0}"
42e5a3d1-9c80-42ac-bbbd-e8c09ec99e5c,figueroashawn@gmail.com,Seth Singh,2025-01-18T13:57:53,"{""subscribe_to_newsletter"": true, ""discount_amount"": 0}"
5af1d4b8-59d2-4ade-9efd-d8e5084a2fbd,roy02@hotmail.com,Jose Hawkins,2024-04-08T04:06:01,"{""subscribe_to_newsletter"": true, ""discount_amount"": 5}"
f1e9ed60-2e1c-4b0d-a8a7-5ca744482bb1,jeffrey95@nelson.com,Frank Sanders,2025-07-14T01:57:19,"{""subscribe_to_newsletter"": true, ""discount_amount"": 10}"
ea35e1f2-3e51-47b2-943d-e35617d9d079,williamchang@lee.com,Evan Peterson,2024-09-05T22:35:38,"{""subscribe_to_newsletter"": false, ""discount_amount"": 15}"
d17dd8a4-6399-4bda-888d-7a3a73646aff,kristiwebb@ross.org,Gina Rocha,2025-04-29T00:33:07,"{""subscribe_to_newsletter"": false, ""discount_amount"": 15}"
5f5a5eae-862f-4484-8ef3-9b922f478349,villanuevakrystal@waller.com,Joe Rosario,2025-05-11T00:45:40,"{""subscribe_to_newsletter"": true, ""discount_amount"": 10}"
375ccd5d-9a12-43fd-b850-bd0b4ba65d10,michael75@gmail.com,Catherine Rowland,2023-09-02T19:28:54,"{""subscribe_to_newsletter"": false, ""discount_amount"": 15}"
